primary_category,secondry_category,urls,product_name,image_url,Description,lot,bid_amount,Highest_Bid
Antiques,Antiques,https://hibid.com/lot/148090895/garnet-and-gold-filled-bangle-bracelet?ref=lot-list,"Garnet And Gold Filled Bangle Bracelet
",https://cdn.hibid.com/img.axd?id=7768289937&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=fzLlNDT4Xhm5nXBEKkkrRJlID6PgekWU,"20.6 G. Total Weight. 2.25"" X 2.25"".
Location: 466: Case 1 - Tray 1",1 ,46.00,45.00
Antiques,Antiques,https://hibid.com/lot/148090898/1-ct--diamond-and-14k-gold-wedding-ring-set?ref=lot-list,"1 Ct. Diamond & 14k Gold Wedding Ring Set
",https://cdn.hibid.com/img.axd?id=7768502410&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=yxg62fOF4DWMPYK1bSjKgPga0z%2f91bge,"Both Marked 14k. 5.7 Dwt. Total Weight. Size 6.5. 1 Carat Total Weight Of Diamonds.
Location: 466: Case 2 - Tray 10",1A ,65.00,60.00
Antiques,Antiques,https://hibid.com/lot/148090900/group-of-4-antique-tin-types?ref=lot-list,"Group Of 4 Antique Tin Types
",https://cdn.hibid.com/img.axd?id=7768290040&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=hVRZxwsRee8%2beo7wC50H3XaYuqCxi3kC,"Approx. 3.5"" X 2.5"". See Photos.
Location: 466: Case 1 - Tub 2",2 ,8.00,7.00
Antiques,Antiques,https://hibid.com/lot/148090903/starbuck-cement-products-advertising-thermometer?ref=lot-list,"Starbuck Cement Products Advertising Thermometer
",https://cdn.hibid.com/img.axd?id=7768316435&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=M5xQegbRKAPlSti%2fyWHaRAfFq94oMUcN,"9"" X 5.75"".
Location: 466: Case 21",3 ,6.00,5.00
Antiques,Antiques,https://hibid.com/lot/148090907/10k-gold-and-tigers-eye-cameo-ring?ref=lot-list,"10k Gold And Tiger's Eye Cameo Ring
",https://cdn.hibid.com/img.axd?id=7768290019&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=hVRZxwsRee%2bpQDY1qA%2b0Rf7BUE18tjM0,"Marked 10k. Size 8.5. 3.7 Dwt.
Location: 466: Case 1 - Tray 3",4 ,85.00,80.00
Antiques,Antiques,https://hibid.com/lot/148090910/antique-tin-type-of-boy?ref=lot-list,"Antique Tin Type Of Boy
",https://cdn.hibid.com/img.axd?id=7768290068&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=hVRZxwsRee9Cd9j%2fk1%2fWTD3qZDI5K7Ys,"Approx. 3.5"" X 2.5"". See Photos.
Location: 466: Case 1 - Tub 2",5 ,32.00,31.00
Antiques,Antiques,https://hibid.com/lot/148090913/bronze-sculpture-on-marble-base?ref=lot-list,"Bronze Sculpture On Marble Base
",https://cdn.hibid.com/img.axd?id=7768316453&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=M5xQegbRKAMGkmRjBV%2f3SW%2bjn%2bxWG61P,"12.25"" Tall.
Location: 466: Case 12",6 ,26.00,25.00
Antiques,Antiques,https://hibid.com/lot/148090918/blenko-hand-made-art-glass-vase?ref=lot-list,"Blenko Hand Made Art Glass Vase
",https://cdn.hibid.com/img.axd?id=7768316491&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=M5xQegbRKANrHK12mNb7qsJ0yen7%2bVTq,"Label: Blenko. Handmade. 11"" Tall.
Location: 466: Case 11",7 ,15.00,14.00
Antiques,Antiques,https://hibid.com/lot/148090921/sterling-silver-beaded-necklace?ref=lot-list,"Sterling Silver Beaded Necklace
",https://cdn.hibid.com/img.axd?id=7768290097&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=hVRZxwsRee9Crgz4lo7iBj6vx76HiL5u,"Marked Sterling - 38.9g - 24"" Long
Location: 466: Case 1 Tray 3",8 ,8.00,7.00
Antiques,Antiques,https://hibid.com/lot/148090923/currier-and-ives-colored-print--pet-of-the-family?ref=lot-list,"Currier And Ives Colored Print, Pet Of The Family
",https://cdn.hibid.com/img.axd?id=7768290136&wid=&rwl=false&p=&ext=&w=0&h=0&t=&lp=&c=true&wt=false&sz=MAX&checksum=ruFI7dO7GCshEs2jMPIJqIw1If%2bhEl7Q,"New York Published By Currier & Ives. Some Discoloration, See Photos. Framed And Under Glass: 16.5"" X 13.5"".
Location: 466: under table 5",9 ,2.00,1.00
